,feature_name,large_amp_corr,large_amp_pval,large_PRE_amp1,large_PRE_amp2,large_PRE_latency,small_amp_corr,small_amp_pval,small_PRE_amp1,small_PRE_amp2,small_PRE_latency,global_pre_avg_amp1,global_pre_std_amp1,global_pre_avg_amp2,global_pre_std_amp2,global_pre_avg_latency,global_pre_std_latency,global_ppc_avg,global_ppc_std
0,pca30,0.9981346327602838,0.0,0.18820050718506098,0.191901986771822,0.005962209403514862,0.052096075375347335,0.09966493200467616,0.00966723342537879,0.008725214076042188,0.0017323368191719058,0.01626475577026431,0.015465190595561413,0.01598137000013957,0.013827012227514703,0.017666913569499055,0.040054006011848414,0.008912576505824152,0.0031072099542784064
1,pca4,0.9986607745829534,0.0,0.1989115193635749,0.19804650855362416,0.0030818033516407015,0.10048900977703622,0.0014635069886096855,0.014044305813312521,0.015701125985383986,0.00358360493183136,0.04859111109873044,0.06349817034829101,0.04720367749988803,0.05246285427620087,0.025696019361115728,0.042437726455096574,0.01903333346547778,0.008693557264751543
2,peak,0.9648664569462168,0.0,0.2433847714089825,0.29283768480271105,0.04241651278734207,0.021845159477354697,0.49017976437225436,0.09060776140093801,0.07959311269521718,0.021729844450950622,0.09207177155462112,0.050243552994114406,0.09013592158729587,0.04304577796777318,0.06929794760006479,0.1151607179999499,0.04717495149075357,0.01804059454354792
3,bandpower,-0.23463434669589334,5.6619955366283925e-14,0.2079846872302747,0.39302639580618126,0.26277268088150596,-0.9755735063976002,0.0,0.1440163197994232,0.1335612791746855,0.2541544885337353,0.20497781459525566,0.11944570696982812,0.20648305915672982,0.11960234208990501,0.2849653809548503,0.15235203607069062,0.14434416010780773,0.05769106007992183
