,feature_name,large_p_d_corr,large_p_d_pval,large_PRE_prox,large_PRE_dist,large_PRE_latency,small_p_d_corr,small_p_d_pval,small_PRE_prox,small_PRE_dist,small_PRE_latency,global_pre_avg_prox,global_pre_std_prox,global_pre_avg_dist,global_pre_std_dist,global_pre_avg_latency,global_pre_std_latency,global_ppc_avg,global_ppc_std
0,pca30,0.9280041938908699,0.0,0.027431646302342412,0.026711301451921472,0.007451338171958923,-0.17455743557868125,2.7635191649954162e-08,0.007948720645904541,0.009518188345432284,0.0020017367005348207,0.010895932794234245,0.007299074937426581,0.013186943938029523,0.007175144161428563,0.003828904728800983,0.0037712284069600934,3.3985427e-06,7.446071e-06
1,pca4,0.9037533696855983,0.0,0.08721511833276598,0.05139557878375055,0.016062983751297,0.16546950184351256,1.4220500455086987e-07,0.010873754680156698,0.01631251866221429,0.002095762491226196,0.022797269063908637,0.02457134897276772,0.0504222944988607,0.038344076585186404,0.033464134898455844,0.05337081963671794,1.3645216e-05,1.29749915e-05
2,peak,0.9462574925531685,0.0,0.16374985158061606,0.14905195269882682,0.03324358615279198,-0.19927733784925375,2.0480794690767155e-10,0.030703369081020334,0.025516460943222085,0.007546929121017456,0.03442377722343942,0.029003759004246798,0.06286210603772711,0.06498404406635651,0.015542774788418314,0.018395999217541613,1.0993649e-05,8.203323e-06
3,bandpower,0.926554992074371,0.0,0.14020324615873392,0.30495007457104806,0.010482040315866472,-0.8760593054562441,2.10564e-318,0.08671556923803872,0.05198178907036781,0.07655820089578629,0.1231058975663648,0.09408305701837229,0.18069161596684719,0.10993113456247722,0.1895764563395409,0.144987389172438,4.956424e-05,2.8488888e-05
